,index,attendance,away_assists,away_at_bats,away_average_leverage_index,away_base_out_runs_added,away_base_out_runs_saved,away_bases_on_balls,away_batting_average,away_earned_runs,away_fly_balls,away_game_score,away_grounded_balls,away_hits,away_home_runs,away_inherited_runners,away_inherited_score,away_innings_pitched,away_line_drives,away_on_base_percentage,away_on_base_plus,away_pitches,away_plate_appearances,away_putouts,away_rbi,away_runs,away_slugging_percentage,away_strikeouts,away_strikes,away_strikes_by_contact,away_strikes_looking,away_strikes_swinging,away_unknown_bat_type,away_win_probability_added,away_win_probability_by_pitcher,away_win_probability_for_offensive_player,away_win_probability_subtracted,date,duration,home_assists,home_at_bats,home_average_leverage_index,home_base_out_runs_added,home_base_out_runs_saved,home_bases_on_balls,home_batting_average,home_earned_runs,home_fly_balls,home_game_score,home_grounded_balls,home_hits,home_home_runs,home_inherited_runners,home_inherited_score,home_innings_pitched,home_line_drives,home_on_base_percentage,home_on_base_plus,home_pitches,home_plate_appearances,home_putouts,home_rbi,home_runs,home_slugging_percentage,home_strikeouts,home_strikes,home_strikes_by_contact,home_strikes_looking,home_strikes_swinging,home_unknown_bat_type,home_win_probability_added,home_win_probability_by_pitcher,home_win_probability_for_offensive_player,home_win_probability_subtracted,losing_abbr,losing_name,time,time_of_day,venue,winner,winning_abbr,winning_name,location
30,NYN/NYN201905020,21445,9,30,0.78,-4.4,2.9,1,0.133,0.0,10,62,10,4,1,0,0,8.0,5,0.161,0.295,118,31,24,0,0,0.133,10,74,41,23,10,0,0.193,0.235,-0.735,-0.927,"Thursday, May 2, 2019",2:10,8,27,1.27,-2.9,4.4,1,0.148,1.12,11,88,7,4,0,,,9.0,5,0.179,0.475,104,28,27,1,1,0.296,9,86,53,22,11,0,0.239,0.734,-0.235,-0.475,CIN,Cincinnati Reds,12:11 p.m. Local,Day,Citi Field,Home,NYM,New York Mets,Home
31,MIL/MIL201905030,32550,10,32,0.98,-3.8,1.3,3,0.219,1.0,7,41,13,7,2,1,0,8.0,3,0.286,0.536,134,35,24,1,1,0.25,12,102,60,20,22,0,0.553,-0.011,-0.489,-1.041,"Friday, May 3, 2019",3:01,11,33,1.37,-1.3,3.8,2,0.303,3.38,15,56,14,10,0,0,0,9.0,5,0.343,0.888,154,35,27,3,3,0.545,4,89,53,27,9,0,0.62,0.489,0.012,-0.608,NYM,New York Mets,7:11 p.m. Local,Night,Miller Park,Home,MIL,Milwaukee Brewers,Away
32,MIL/MIL201905040,39565,16,62,2.08,-6.6,4.7,1,0.161,1.5,14,66,31,10,0,1,0,17.1,8,0.188,0.429,247,64,52,3,3,0.242,17,163,97,37,29,0,1.174,0.663,-1.164,-2.338,"Saturday, May 4, 2019",5:22,27,62,1.66,-4.7,6.6,7,0.177,2.08,25,65,19,11,1,2,0,18.0,8,0.261,0.487,253,69,54,4,4,0.226,18,162,85,41,36,0,1.904,1.164,-0.662,-2.565,NYM,New York Mets,6:10 p.m. Local,Night,Miller Park,Home,MIL,Milwaukee Brewers,Away
33,MIL/MIL201905050,36016,7,31,0.75,-2.8,1.3,1,0.194,2.0,13,49,9,6,1,2,0,8.0,6,0.219,0.574,109,32,24,2,2,0.355,9,88,55,22,12,0,0.357,0.021,-0.521,-0.878,"Sunday, May 5, 2019",2:39,10,27,1.17,-1.3,2.8,1,0.185,3.38,14,63,6,5,1,0,0,9.0,5,0.233,0.641,136,30,27,3,3,0.407,8,71,40,17,14,0,0.423,0.522,-0.02,-0.443,NYM,New York Mets,1:10 p.m. Local,Day,Miller Park,Home,MIL,Milwaukee Brewers,Away
34,SDN/SDN201905060,20176,10,31,0.7,-4.5,0.0,1,0.129,0.0,6,67,13,4,1,0,0,8.0,3,0.156,0.285,124,32,24,0,0,0.129,12,75,36,18,21,0,0.124,0.046,-0.545,-0.671,"Monday, May 6, 2019",2:14,9,30,0.99,-0.0,4.5,1,0.233,4.5,11,81,12,7,0,1,0,9.0,8,0.25,0.65,104,32,27,4,4,0.4,8,86,47,17,22,0,0.357,0.546,-0.047,-0.405,NYM,New York Mets,7:11 p.m. Local,Night,Petco Park,Home,SDP,San Diego Padres,Away
35,SDN/SDN201905070,23129,13,37,1.72,2.5,-1.5,5,0.324,7.0,10,40,16,12,2,0,0,9.0,6,0.409,0.95,157,44,27,7,7,0.541,12,106,62,24,20,0,1.424,0.019,0.482,-0.942,"Tuesday, May 7, 2019",3:38,10,37,1.42,1.5,-2.5,4,0.324,5.0,12,44,16,12,1,5,2,9.0,5,0.39,0.931,180,41,27,5,6,0.541,9,103,53,31,19,0,1.147,-0.482,-0.019,-1.166,SDP,San Diego Padres,7:11 p.m. Local,Night,Petco Park,Away,NYM,New York Mets,Away
36,SDN/SDN201905080,21952,10,33,0.94,-2.5,1.0,2,0.212,2.0,9,49,11,7,2,0,0,8.0,2,0.257,0.621,124,35,24,2,2,0.364,13,97,53,23,21,0,0.623,0.009,-0.51,-1.133,"Wednesday, May 8, 2019",2:44,8,29,1.57,-1.0,2.5,1,0.172,3.38,12,59,10,5,1,2,0,9.0,3,0.2,0.614,137,30,27,3,3,0.414,7,82,46,16,20,0,0.568,0.509,-0.01,-0.579,NYM,New York Mets,12:41 p.m. Local,Day,Petco Park,Home,SDP,San Diego Padres,Away
37,NYN/NYN201905100,25194,10,37,0.31,-2.4,-7.1,3,0.27,2.0,10,0,16,10,3,0,0,8.0,6,0.317,0.587,165,41,24,2,2,0.27,12,101,58,24,19,0,0.055,-0.44,-0.06,-0.116,"Friday, May 10, 2019",3:04,9,36,0.15,7.1,2.4,8,0.417,12.38,16,61,12,15,0,0,0,9.0,7,0.543,1.21,143,46,27,10,11,0.667,8,102,58,27,17,0,0.49,0.06,0.441,-0.05,MIA,Miami Marlins,7:10 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
38,NYN/NYN201905110,32501,12,33,0.89,-3.4,-0.1,2,0.182,1.0,9,36,14,6,2,2,0,8.0,6,0.229,0.501,128,35,24,1,1,0.273,10,98,54,21,23,0,0.297,-0.164,-0.337,-0.63,"Saturday, May 11, 2019",2:41,10,31,0.88,0.1,3.4,3,0.29,4.5,15,70,13,9,0,0,0,9.0,7,0.371,0.888,139,35,27,4,4,0.516,3,84,57,13,14,0,0.689,0.336,0.165,-0.524,MIA,Miami Marlins,7:10 p.m. Local,Night,Citi Field,Home,NYM,New York Mets,Home
39,WAS/WAS201905140,23315,10,34,0.73,0.9,3.1,5,0.235,6.0,18,71,11,8,1,0,0,9.0,9,0.333,0.775,122,39,27,6,6,0.441,5,82,48,26,8,0,0.477,0.309,0.19,-0.285,"Tuesday, May 14, 2019",2:38,10,30,0.47,-3.1,-0.9,1,0.167,2.0,10,34,11,5,2,2,1,9.0,3,0.219,0.519,136,32,27,2,2,0.3,9,76,37,30,9,0,0.26,-0.191,-0.31,-0.571,WSN,Washington Nationals,7:06 p.m. Local,Night,Nationals Park,Away,NYM,New York Mets,Away
